color,line,org,org_lat,org_lon,dst,dst_lat,dst_lon,dist
#6ECA97,6,Kléber,48.871306149,2.2933310209,Charles de Gaulle-Etoile,48.873715268,2.2947595628,0.1787549003
#FA9ABA,7,La Courneuve-8-Mai-1945,48.920514507,2.4102257791,Fort d'Aubervilliers,48.914056745,2.4035763345,0.5392930296
#FA9ABA,7,Fort d'Aubervilliers,48.914056745,2.4035763345,Aubervilliers Pantin (4 Chemins),48.903898048,2.3924800787,0.865006712
#FA9ABA,7,Aubervilliers Pantin (4 Chemins),48.903898048,2.3924800787,Porte de la Villette,48.897529157,2.3856442301,0.5391386607
#FA9ABA,7,Porte de la Villette,48.897529157,2.3856442301,Corentin-Cariou,48.894681542,2.382302194,0.2488078995
#FA9ABA,7,Corentin-Cariou,48.894681542,2.382302194,Crimée,48.890288775,2.3767786489,0.3943119187
#FA9ABA,7,Crimée,48.890288775,2.3767786489,Riquet,48.888393232,2.3744331089,0.1690570817
#FA9ABA,7,Riquet,48.888393232,2.3744331089,Stalingrad,48.884071986,2.3688700628,0.3917026604
#FA9ABA,7,Stalingrad,48.884071986,2.3688700628,Louis Blanc,48.880900428,2.3651072183,0.2782769077
#FA9ABA,7,Louis Blanc,48.880900428,2.3651072183,Château Landon,48.878456567,2.3620537162,0.218828143
#FA9ABA,7,Château Landon,48.878456567,2.3620537162,Gare de l'Est (Verdun),48.876417053,2.3589870465,0.1984909175
#FA9ABA,7,Gare de l'Est (Verdun),48.876417053,2.3589870465,Poissonnière,48.877353095,2.349381424,0.4425649226
#FA9ABA,7,Poissonnière,48.877353095,2.349381424,Cadet,48.875825718,2.3433451246,0.2946783311
#FA9ABA,7,Cadet,48.875825718,2.3433451246,Le Peletier,48.874963058,2.3401567908,0.1570755135
#FA9ABA,7,Le Peletier,48.874963058,2.3401567908,Chaussée d'Antin (La Fayette),48.872985825,2.3334262241,0.3358376154
#FA9ABA,7,Chaussée d'Antin (La Fayette),48.872985825,2.3334262241,Opéra,48.870559217,2.332554482,0.1723251279
#FA9ABA,7,Opéra,48.870559217,2.332554482,Pyramides,48.866496987,2.3340942153,0.2893465683
#FA9ABA,7,Pyramides,48.866496987,2.3340942153,Palais-Royal (Musée du Louvre),48.863387385,2.3354838368,0.2240208583
#FA9ABA,7,Palais-Royal (Musée du Louvre),48.863387385,2.3354838368,Pont Neuf,48.858534102,2.3421172387,0.4515964625
#FA9ABA,7,Pont Neuf,48.858534102,2.3421172387,Châtelet,48.857203646,2.3472247111,0.2503708887
#FA9ABA,7,Châtelet,48.857203646,2.3472247111,Pont Marie (Cité des Arts),48.853463586,2.3573839728,0.5304606575
#FA9ABA,7,Pont Marie (Cité des Arts),48.853463586,2.3573839728,Sully-Morland,48.850793595,2.3612369937,0.2547765554
#FA9ABA,7,Sully-Morland,48.850793595,2.3612369937,Jussieu,48.845968432,2.3548073927,0.4440138065
#FA9ABA,7,Jussieu,48.845968432,2.3548073927,Place Monge (Jardin des Plantes),48.843164693,2.3521103624,0.2294905139
#FA9ABA,7,Place Monge (Jardin des Plantes),48.843164693,2.3521103624,Censier-Daubenton,48.8405943,2.3517556129,0.1783512126
#FA9ABA,7,Censier-Daubenton,48.8405943,2.3517556129,Les Gobelins,48.83612744,2.3520811178,0.3090195342
#FA9ABA,7,Les Gobelins,48.83612744,2.3520811178,Place d'Italie,48.831552303,2.3553334432,0.3492265997
#FA9ABA,7,Place d'Italie,48.831552303,2.3553334432,Tolbiac,48.826159454,2.3570194662,0.3805043458
#FA9ABA,7,Tolbiac,48.826159454,2.3570194662,Maison Blanche,48.822878775,2.3580798943,0.2318019794
#FA9ABA,7,Maison Blanche,48.822878775,2.3580798943,Le Kremlin-Bicêtre,48.810385125,2.3618306831,0.8801189971
#FA9ABA,7,Le Kremlin-Bicêtre,48.810385125,2.3618306831,Villejuif-Léo Lagrange,48.803769663,2.3639093064,0.4668709564
#FA9ABA,7,Villejuif-Léo Lagrange,48.803769663,2.3639093064,Villejuif-Paul Vaillant Couturier (Hôpital Paul B,48.795994132,2.3682314519,0.5723705927
