org,org_lat,org_lon,dst,dst_lat,dst_lon,color,line,dist
Place Monge (Jardin des Plantes),48.843164693,2.3521103624,Censier-Daubenton,48.8405943,2.3517556129,#FA9ABA,7,0.1783512126
Censier-Daubenton,48.8405943,2.3517556129,Les Gobelins,48.83612744,2.3520811178,#FA9ABA,7,0.3090195342
Les Gobelins,48.83612744,2.3520811178,Place d'Italie,48.831552303,2.3553334432,#FA9ABA,7,0.3492265997
Place d'Italie,48.831552303,2.3553334432,Tolbiac,48.826159454,2.3570194662,#FA9ABA,7,0.3805043458
Tolbiac,48.826159454,2.3570194662,Maison Blanche,48.822878775,2.3580798943,#FA9ABA,7,0.2318019794
Maison Blanche,48.822878775,2.3580798943,Le Kremlin-Bicêtre,48.810385125,2.3618306831,#FA9ABA,7,0.8801189971
Le Kremlin-Bicêtre,48.810385125,2.3618306831,Villejuif-Léo Lagrange,48.803769663,2.3639093064,#FA9ABA,7,0.4668709564
Villejuif-Léo Lagrange,48.803769663,2.3639093064,Villejuif-Paul Vaillant Couturier (Hôpital Paul B,48.795994132,2.3682314519,#FA9ABA,7,0.5723705927
Villejuif-Paul Vaillant Couturier (Hôpital Paul B,48.795994132,2.3682314519,Villejuif-Louis Aragon,48.786638011,2.3671105274,#FA9ABA,7,0.6485305481
Villejuif-Louis Aragon,48.786638011,2.3671105274,Mairie d'Ivry,48.811214535,2.3835089287,#FA9ABA,7,1.8559075571
Pré-Saint-Gervais,48.880159932,2.3985866219,Danube,48.881951018,2.3932606759,#6ECA97,7b,0.272462667
Danube,48.881951018,2.3932606759,Botzaris,48.879607089,2.3894155697,#6ECA97,7b,0.2386279933
Botzaris,48.879607089,2.3894155697,Buttes-Chaumont,48.877803956,2.3812110997,#6ECA97,7b,0.3941486349
Buttes-Chaumont,48.877803956,2.3812110997,Bolivar,48.880790123,2.3741551267,#6ECA97,7b,0.3820963692
Bolivar,48.880790123,2.3741551267,Jaurès,48.882328025,2.3704769688,#6ECA97,7b,0.198477761
Jaurès,48.882328025,2.3704769688,Louis Blanc,48.881493429,2.3657752423,#6ECA97,7b,0.221902878
Balard,48.836814989,2.2786833465,Lourmel,48.838668129,2.2822484884,#E19BDF,8,0.2069864311
Lourmel,48.838668129,2.2822484884,Boucicaut,48.841025355,2.2879238673,#E19BDF,8,0.3058502105
Boucicaut,48.841025355,2.2879238673,Félix Faure,48.842824568,2.2922249662,#E19BDF,8,0.2322540764
