node,lat,lon
PORTE DE VERSAILLES,48.832208305,2.2873604739
PORTE DE VERSAILLES - PARC DES EXPOSITIONS,48.832613025,2.2880271613
PORTE DE VINCENNES,48.847223924,2.409686912
PORTE DES LILAS,48.876731095,2.4070984367
PORTE DOREE,48.836053743,2.4074521198
POTERNE DES PEUPLIERS,48.820848498,2.3517500953
PUTEAUX,48.882997246,2.2332258571
Palais-Royal (Musée du Louvre),48.863387385,2.3365736007
Parmentier,48.865259857,2.3747570817
Passy,48.857534383,2.2855927058
Pasteur,48.842830542,2.3132900438
Pelleport,48.868223348,2.4013243805
Pereire,48.885031061,2.2971351115
Pernety,48.83393382,2.3179089722
Philippe Auguste,48.858378841,2.3897347327
Picpus,48.845323115,2.4017863138
Pigalle,48.882422528,2.3372546821
Place Monge (Jardin des Plantes),48.843164693,2.3521103624
Place d'Italie,48.831552303,2.3557961457
Place de Clichy,48.883455652,2.3273749934
Place des Fêtes,48.876729469,2.3931460318
Plaisance,48.831758094,2.3138665498
Pointe du Lac,48.768768636,2.4643193989
Poissonnière,48.877353095,2.349381424
Pont Marie (Cité des Arts),48.853463586,2.3573839728
Pont Neuf,48.858534102,2.3421172387
Pont de Levallois-Bécon,48.897309905,2.2807686428
Pont de Neuilly,48.885506109,2.2585274702
Pont de Sèvres,48.829690338,2.2305284342
Port-Royal,48.839885166,2.3368734409
Porte Dauphine (Maréchal de Lattre de Tassigny),48.871792216,2.2748699612
Porte Dorée,48.835497253,2.4061852122
Porte Maillot,48.878006176,2.28246564
Porte d'Orléans (Général Leclerc),48.82281706,2.3250726251
Porte de Bagnolet,48.864336535,2.408825376
Porte de Champerret,48.88573916,2.2918606207
Porte de Charenton,48.832660346,2.4004636384
Porte de Clichy,48.89443606,2.3135656655
Porte de Clignancourt,48.89797017,2.3439883834
Porte de Montreuil,48.853379878,2.4104581874
Porte de Pantin,48.888583981,2.3924228757
Porte de Saint-Cloud,48.837565334,2.2555912744
Porte de Vanves,48.827765327,2.3043123508
Porte de Versailles,48.832253453,2.2878641378
Porte de Vincennes,48.847016518,2.4108168823
Porte de la Chapelle,48.897959343,2.3592550696
Porte de la Villette,48.897529157,2.3856442301
Porte des Lilas,48.877234717,2.406526843
Pré-Saint-Gervais,48.880159932,2.3985866219
Pyramides,48.866613831,2.3344075309
Pyrénées,48.873821172,2.3848863722
Père-Lachaise,48.863161205,2.3872604002
QUATRE ROUTES,48.927404367,2.2745983949
Quai de la Gare,48.837614676,2.3738521157
Quai de la Rapée,48.845966032,2.3669131797
Quatre Septembre,48.869660572,2.3363282816
ROBERT SCHUMAN (PARC SILIC CENTRE),48.746643782,2.3529118397
ROBERT WAGNER,48.78515236,2.1790163044
ROGER SEMAT,48.944700909,2.3568873589
ROSA PARKS,48.897515796,2.3724904415
Rambuteau,48.861193396,2.3532869599
Ranelagh,48.855504403,2.2699591783
Raspail,48.839156981,2.3306784193
Rennes,48.848198269,2.3280217486
Reuilly-Diderot,48.847352877,2.3872041772
Richard-Lenoir,48.860488413,2.3719204375
Richelieu-Drouot,48.872096124,2.3399113906
Riquet,48.888393232,2.3744331089
Robespierre,48.855680808,2.4236590855
Robinson,48.780031321,2.2810593785
Rome,48.882070834,2.3203983393
Rue Saint-Maur,48.864089406,2.3808997886
Rue de la Pompe (Avenue Georges Mandel),48.864253384,2.277916762
Rue des Boulets,48.852222713,2.3891156509
Rue du Bac,48.855891338,2.3257049939
Rueil-Malmaison,48.887168137,2.1706233783
Réaumur-Sébastopol,48.866280359,2.352620954
République,48.867671519,2.3640373036
SAARINEN (PARC SILIC NORD),48.750220887,2.3543672853
SAINT-DENIS - GARE,48.935886041,2.3472671437
SAINT-DENIS - PORTE DE PARIS,48.929746768,2.3571681157
SEVERINE,48.867508894,2.4091294602
SOLEIL LEVANT,48.790348706,2.2632150365
STADE CHARLETY - PORTE DE GENTILLY,48.819491931,2.3458019879
STADE GEO ANDRE,48.924446512,2.4020758267
SURESNES LONGCHAMP,48.868112325,2.2213763438
SUZANNE LENGLEN,48.833551237,2.2761820445
SUZANNE VALADON,48.958926614,2.3585303984
Saint-Ambroise,48.861647424,2.3731471408
Saint-Augustin,48.87438676,2.320727832
Saint-Denis-Université,48.946110872,2.362045193
Saint-Fargeau,48.871699811,2.4042987242
Saint-François-Xavier,48.85098256,2.3144298646
Saint-Georges,48.878593955,2.3378269689
Saint-Germain des Prés,48.853447238,2.333046326
Saint-Germain-en-Laye,48.898478199,2.0945388041
Saint-Jacques,48.832991692,2.3366828966
Saint-Lazare,48.876067814,2.3266952721
Saint-Mandé,48.846238257,2.4189998281
Saint-Marcel,48.838516744,2.3607275504
Saint-Maur Créteil,48.806419609,2.4720450509
Saint-Michel,48.853599908,2.3439962411
Saint-Michel Notre-Dame,48.853680781,2.3442413996
Saint-Paul (Le Marais),48.855134518,2.3613343391
Saint-Philippe du Roule,48.872470666,2.3107691012
Saint-Placide,48.84701184,2.3270551114
Saint-Rémy-lès-Chevreuse,48.702868684,2.0706002145
Saint-Sulpice,48.851146355,2.3309628564
Saint-Sébastien-Froissart,48.860974997,2.367262295
Sceaux,48.781484949,2.2972966909
Sentier,48.867350381,2.3475672354
Simplon,48.894042555,2.3473135786
Solférino,48.85853336,2.3230892488
Stalingrad,48.884189294,2.3688700628
Strasbourg-Saint-Denis,48.869632365,2.3545291754
Sucy Bonneuil,48.771051533,2.5075112683
Sully-Morland,48.850793595,2.3612369937
Sèvres-Babylone,48.851577469,2.3268907883
Sèvres-Lecourbe,48.844996151,2.31086483
Ségur,48.846864702,2.3072688476
THEATRE GERARD PHILIPE,48.937251775,2.3500502359
TIMBAUD,48.933499386,2.3008350122
Temple,48.866764168,2.361571327
Ternes,48.878228041,2.2981214326
Tolbiac,48.826159454,2.3570194662
Torcy,48.839597138,2.6545815812
Trinité-d'Estienne d'Orves,48.876329037,2.3318045685
Trocadéro,48.863089135,2.2872630616
Tuileries,48.864780163,2.3290949544
Télégraphe,48.875522449,2.3986765111
VAUBAN,48.807386926,2.2941471022
VELIZY 2,48.785019604,2.2195351309
VICTOR BASCH,48.913757224,2.2298643857
VILLEJUIF - LOUIS ARAGON,48.787554818,2.3669614325
VILLETANEUSE-UNIVERSITE,48.959404721,2.3417036552
VIROFLAY - RIVE DROITE,48.805639799,2.1688576461
VIROFLAY - RIVE GAUCHE,48.801032576,2.1713760103
Val d'europe,48.855497048,2.7736084332
Vaneau,48.84870085,2.3212398819
Varenne,48.856393069,2.3147543648
Vaugirard (Adolphe Chérioux),48.839439281,2.3010780425
Vavin,48.842059858,2.3288670504
Victor Hugo,48.869864912,2.2852262073
Villejuif-Louis Aragon,48.786638011,2.3671105274
Villejuif-Léo Lagrange,48.803769663,2.3639093064
Villejuif-Paul Vaillant Couturier (Hôpital Paul B,48.795994132,2.3682314519
Villiers,48.8814051,2.3165967615
Vincennes,48.847323871,2.4335315969
Volontaires,48.841418443,2.3079936494
Voltaire (Léon Blum),48.857663726,2.3800362968
Wagram,48.883712476,2.3055577575
